No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
222,MINE,Sinar Terang Mandiri Tbk.,10 Mar 2025,4.084.435.300,Pengembangan
223,KAQI,Jantra Grupo Indonesia Tbk.,10 Mar 2025,2.075.800.000,Pengembangan
224,YUPI,Yupi Indo Jelly Gum Tbk.,25 Mar 2025,8.544.488.700,Utama
225,FORE,Fore Kopi Indonesia Tbk.,14 Apr 2025,8.918.359.270,Pengembangan
226,MDLA,Medela Potentia Tbk.,15 Apr 2025,14.012.825.000,Utama
227,DKHH,Cipta Sarana Medika Tbk.,08 Mei 2025,2.550.312.624,Pengembangan
228,ASPR,Asia Pramulia Tbk.,08 Jul 2025,2.712.000.000,Pengembangan
229,PSAT,Pancaran Samudera Transport Tb,08 Jul 2025,1.482.353.000,Pengembangan
230,COIN,Indokripto Koin Semesta Tbk.,09 Jul 2025,14.705.882.400,Pengembangan
231,CDIA,Chandra Daya Investasi Tbk.,09 Jul 2025,124.829.374.700,Pengembangan
232,BLOG,Trimitra Trans Persada Tbk.,10 Jul 2025,3.379.487.200,Utama
233,MERI,Merry Riana Edukasi Tbk.,10 Jul 2025,1.035.132.500,Pengembangan
234,CHEK,Diastika Biotekindo Tbk.,10 Jul 2025,4.113.331.485,Pengembangan
235,PMUI,Prima Multi Usaha Indonesia Tb,10 Jul 2025,5.800.000.000,Pengembangan
236,EMAS,Merdeka Gold Resources Tbk.,23 Sep 2025,14.731.366.060,Pengembangan
237,PJHB,Pelayaran Jaya Hidup Baru Tbk.,06 Nov 2025,1.921.035.050,Pengembangan
238,RLCO,Abadi Lestari Indonesia Tbk.,08 Des 2025,3.125.000.000,Pengembangan
239,SUPA,Super Bank Indonesia Tbk.,17 Des 2025,33.558.047.450,Pengembangan
240,WBSA,BSA Logistics Indonesia Tbk.,10 Apr 2026,8.675.000.000,Pengembangan
241,JECX,Nitrasanata Dharma Tbk.,07 Jul 2026,3.253.222.300,Utama
242,JELI,Niramas Utama Tbk.,07 Jul 2026,1.266.000.000,Pengembangan
243,EMMI,Esa Medika Mandiri Tbk.,08 Jul 2026,1.742.857.000,Pengembangan
244,BACH,Bach Multi Global Tbk.,08 Jul 2026,4.084.430.000,Utama
245,PRDL,Prodia Diagnostic Line Tbk.,09 Jul 2026,1.742.900.000,Pengembangan
246,RANS,Rans Entertainmen Indonesia Tb,10 Jul 2026,12.609.250.000,Pengembangan
247,AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,Utama
248,ABBA,Mahaka Media Tbk.,03 Apr 2002,3.935.892.857,Pemantauan Khusus
249,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,Pengembangan
250,ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,Utama
251,ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,17.120.389.700,Utama
252,ACST,Acset Indonusa Tbk.,24 Jun 2013,17.675.160.000,Pemantauan Khusus
253,ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,Pemantauan Khusus
254,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,8.407.608.979,Utama
255,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.235.803.109,Pengembangan
256,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,Pengembangan
257,ADRO,Alamtri Resources Indonesia Tb,16 Jul 2008,28.800.494.200,Utama
258,AGII,Samator Indo Gas Tbk.,28 Sep 2016,3.066.660.000,Pengembangan
259,AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,24.493.093.216,Utama
260,AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,47.367.057.874,Pengembangan
261,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,4.900.000.000,Pengembangan
262,AIMS,Artha Mahiya Investama Tbk.,20 Jul 2001,220.000.000,Pengembangan
263,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,9.311.800.000,Utama
264,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6.449.463.636,Pemantauan Khusus
265,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,612.248.000,Pengembangan
266,AKRA,AKR Corporindo Tbk.,03 Okt 1994,20.073.474.600,Utama
